Gene 1	Gene 2	Weight	Network group	Network
IL6	SOD2	0.018333817	Co-expression	Ramaswamy-Golub-2001
HGS	NF2	0.012101906	Co-expression	Ramaswamy-Golub-2001
OSM	IL6R	0.012400527	Co-expression	Ramaswamy-Golub-2001
PLAUR	SOD2	0.021805996	Co-expression	Ramaswamy-Golub-2001
SLC9A3R1	HGS	0.011225587	Co-expression	Ramaswamy-Golub-2001
STAT1	SOD2	0.008449539	Co-expression	Arijs-Rutgeerts-2009
NF2	SOD2	0.0064529586	Co-expression	Rosenwald-Staudt-2001
STAT1	SOD2	0.0041136933	Co-expression	Jiang-de Kok-2017
IFNGR1	SOD2	0.0051856358	Co-expression	Jiang-de Kok-2017
SHH	DHH	0.013058675	Co-expression	Jiang-de Kok-2017
IL6R	SOD2	0.013370553	Co-localization	Johnson-Shoemaker-2003
STAT2	STAT1	0.011110927	Co-localization	Johnson-Shoemaker-2003
KIT	CDON	0.019931328	Co-localization	Johnson-Shoemaker-2003
NF2	STAT1	0.0013493402	Genetic Interactions	Lin-Smith-2010
SCHIP1	STAT1	0.0007362759	Genetic Interactions	Lin-Smith-2010
DHH	SCHIP1	0.0009512267	Genetic Interactions	Lin-Smith-2010
CDON	SCHIP1	0.00033257864	Genetic Interactions	Lin-Smith-2010
CRP	IL6ST	0.0011183877	Genetic Interactions	Lin-Smith-2010
CRP	CDON	0.00071386766	Genetic Interactions	Lin-Smith-2010
SHH	IFNGR1	0.00186025	Genetic Interactions	Lin-Smith-2010
SHH	CDON	0.0008384417	Genetic Interactions	Lin-Smith-2010
SHH	CRP	0.0016058579	Genetic Interactions	Lin-Smith-2010
EZR	KDM3A	0.0017313662	Genetic Interactions	Lin-Smith-2010
KIT	SCHIP1	0.0003946352	Genetic Interactions	Lin-Smith-2010
KIT	KDM3A	0.0010909186	Genetic Interactions	Lin-Smith-2010
KIT	EZR	0.00083288114	Genetic Interactions	Lin-Smith-2010
IL6	IL6R	0.046300925	Pathway	NCI_NATURE
STAT1	IL6R	0.03409833	Pathway	NCI_NATURE
STAT1	IL6	0.023060549	Pathway	NCI_NATURE
IL6ST	IL6R	0.04921894	Pathway	NCI_NATURE
IL6ST	IL6	0.033286545	Pathway	NCI_NATURE
SHH	BOC	0.34528163	Pathway	NCI_NATURE
SHH	CDON	0.20530568	Pathway	NCI_NATURE
STAT2	IL6ST	0.11759165	Pathway	NCI_NATURE
