GeneID1	GeneID2	PCC_moderate	feature_type	PCC_moderate_abs
SELP	ITGAM	0.531944865525702	transcript-transcript	0.531944865525702
IL1B	CXCL8	0.456395263997085	transcript-transcript	0.456395263997085
TNF	IL1B	0.623887650246745	transcript-transcript	0.623887650246745
CXCL2	CXCL8	0.224727342001797	transcript-transcript	0.224727342001797
LCK	IL10RA	0.484995542959371	transcript-transcript	0.484995542959371
CCL4	CXCL8	0.369622820951635	transcript-transcript	0.369622820951635
CCL4	IL1B	0.12281521211271	transcript-transcript	0.12281521211271
CCL4	CXCL2	0.225916684391822	transcript-transcript	0.225916684391822
ICAM1	FURIN	0.27986379488985	transcript-transcript	0.27986379488985
IFNG	GZMB	0.495526986747192	transcript-transcript	0.495526986747192
PKM	CALR	0.44668354549194	transcript-transcript	0.44668354549194
CD4	ITGAM	-0.614064697922433	transcript-transcript	0.614064697922433
FURIN	ANPEP	0.522092947817088	transcript-transcript	0.522092947817088
IL1B	CXCL8	0.456395263997085	transcript-transcript	0.456395263997085
TNF	ITGAM	-0.327186190785132	transcript-transcript	0.327186190785132
TNF	IL1B	0.623887650246745	transcript-transcript	0.623887650246745
EPOR	CPOX	-0.52344800282414	transcript-transcript	0.52344800282414
CD8B	BRAF	-0.795900896871505	transcript-transcript	0.795900896871505
CD8B	GFAP	0.149491967765468	transcript-transcript	0.149491967765468
IL10RA	ITGAM	-0.308465660280761	transcript-transcript	0.308465660280761
IL10RA	CXCL8	0.35541042816585	transcript-transcript	0.35541042816585
CXCL2	FURIN	-0.237639141948501	transcript-transcript	0.237639141948501
CXCL2	CXCL8	0.224727342001797	transcript-transcript	0.224727342001797
CXCL2	IL10RA	0.659560161079829	transcript-transcript	0.659560161079829
ELANE	CPOX	0.411441944526561	transcript-transcript	0.411441944526561
ASGR2	ITGAM	-0.451882172657859	transcript-transcript	0.451882172657859
ENPEP	CD8B	-0.277287423582049	transcript-transcript	0.277287423582049
LCK	TNF	0.276961528132949	transcript-transcript	0.276961528132949
CCL4	CXCL8	0.369622820951635	transcript-transcript	0.369622820951635
CCL4	IL1B	0.12281521211271	transcript-transcript	0.12281521211271
CCL4	CXCL2	0.225916684391822	transcript-transcript	0.225916684391822
ICAM1	ITGAM	0.203384866467468	transcript-transcript	0.203384866467468
ICAM1	IFNG	-0.1817406704413	transcript-transcript	0.1817406704413
