GeneID1	GeneID2	PCC_severe	feature_type	PCC_severe_abs
TNF	IL1B	0.433598849322391	transcript-transcript	0.433598849322391
CXCL2	CXCL8	0.488927463287909	transcript-transcript	0.488927463287909
CXCL2	IL1B	-0.103552664425524	transcript-transcript	0.103552664425524
LCK	IL10RA	0.442667119655452	transcript-transcript	0.442667119655452
CCL4	CXCL8	0.239079760412557	transcript-transcript	0.239079760412557
CCL4	IL1B	0.196141696153395	transcript-transcript	0.196141696153395
CCL4	TNF	0.203948482169353	transcript-transcript	0.203948482169353
CCL4	CXCL2	0.139261489375104	transcript-transcript	0.139261489375104
ICAM1	FURIN	0.323273367886529	transcript-transcript	0.323273367886529
IFNG	GZMB	0.762291126562528	transcript-transcript	0.762291126562528
PKM	CALR	0.280234831771024	transcript-transcript	0.280234831771024
CD4	ITGAM	-0.397795838954933	transcript-transcript	0.397795838954933
FURIN	ANPEP	0.386028845337248	transcript-transcript	0.386028845337248
IL1B	ITGAM	0.244624755877991	transcript-transcript	0.244624755877991
TNF	PKM	0.371433747913741	transcript-transcript	0.371433747913741
TNF	IL1B	0.433598849322391	transcript-transcript	0.433598849322391
CD8B	BRAF	-0.39171637911674	transcript-transcript	0.39171637911674
IL10RA	ITGAM	-0.151631572173971	transcript-transcript	0.151631572173971
CXCL2	CXCL8	0.488927463287909	transcript-transcript	0.488927463287909
CXCL2	IL1B	-0.103552664425524	transcript-transcript	0.103552664425524
CXCL2	IL10RA	0.353003046116611	transcript-transcript	0.353003046116611
ELANE	CPOX	0.101597594059048	transcript-transcript	0.101597594059048
ELANE	EPOR	0.466447476462251	transcript-transcript	0.466447476462251
ASGR2	ITGAM	-0.141831174979698	transcript-transcript	0.141831174979698
ENPEP	CD8B	-0.184870680389505	transcript-transcript	0.184870680389505
LCK	TNF	0.125961036351647	transcript-transcript	0.125961036351647
CCL4	CXCL8	0.239079760412557	transcript-transcript	0.239079760412557
CCL4	IL1B	0.196141696153395	transcript-transcript	0.196141696153395
CCL4	TNF	0.203948482169353	transcript-transcript	0.203948482169353
CCL4	CXCL2	0.139261489375104	transcript-transcript	0.139261489375104
ICAM1	ITGAM	0.135661794074061	transcript-transcript	0.135661794074061
ICAM1	CXCL8	0.458632470077631	transcript-transcript	0.458632470077631
ICAM1	IL1B	0.177170252999124	transcript-transcript	0.177170252999124
ICAM1	CXCL2	0.254766465910843	transcript-transcript	0.254766465910843
IFNG	GZMB	0.762291126562528	transcript-transcript	0.762291126562528
CD8A	GZMB	0.580324557973639	transcript-transcript	0.580324557973639
CXCL8	MEFV	0.146448318004831	transcript-transcript	0.146448318004831
IL1B	MEFV	0.660864520759907	transcript-transcript	0.660864520759907
TNF	IL1B	0.433598849322391	transcript-transcript	0.433598849322391
IL10RA	GZMB	0.377831421210447	transcript-transcript	0.377831421210447
MAP2K1	CXCL2	0.178483055714467	transcript-transcript	0.178483055714467
ENPEP	DPP4	-0.268877432448573	transcript-transcript	0.268877432448573
CCL4	MEFV	-0.135692098902206	transcript-transcript	0.135692098902206
CCL4	CXCL8	0.239079760412557	transcript-transcript	0.239079760412557
CCL4	IL1B	0.196141696153395	transcript-transcript	0.196141696153395
CCL4	TNF	0.203948482169353	transcript-transcript	0.203948482169353
ICAM1	MEFV	0.234898776183167	transcript-transcript	0.234898776183167
ICAM1	CXCL8	0.458632470077631	transcript-transcript	0.458632470077631
ICAM1	IL1B	0.177170252999124	transcript-transcript	0.177170252999124
TNF	IL1B	0.433598849322391	transcript-transcript	0.433598849322391
MEN1	FASTK	0.83287146322697	transcript-transcript	0.83287146322697
MAP2K1	CD8A	-0.268010612777167	transcript-transcript	0.268010612777167
LCK	CD4	0.598214447824856	transcript-transcript	0.598214447824856
CCL4	CD8A	0.555594853309247	transcript-transcript	0.555594853309247
CCL4	CXCL8	0.239079760412557	transcript-transcript	0.239079760412557
RNMT	SCAI	0.406204138073683	transcript-transcript	0.406204138073683
CXCL8	ANPEP	0.326930005110057	transcript-transcript	0.326930005110057
