GeneID1	GeneID2	PCC_healthy	feature_type	PCC_healthy_abs
SELP	ITGAM	-0.115780307465638	transcript-transcript	0.115780307465638
IL1B	CXCL8	0.195674261915606	transcript-transcript	0.195674261915606
TNF	IL1B	0.213473374109535	transcript-transcript	0.213473374109535
CXCL2	TNF	-0.118088677884948	transcript-transcript	0.118088677884948
LCK	IL10RA	0.46851079470215	transcript-transcript	0.46851079470215
CCL4	CXCL8	0.383546280861956	transcript-transcript	0.383546280861956
CCL4	IL1B	-0.272146774808009	transcript-transcript	0.272146774808009
CCL4	TNF	0.169497550238079	transcript-transcript	0.169497550238079
ICAM1	FURIN	0.281173243120927	transcript-transcript	0.281173243120927
IFNG	GZMB	0.759635347696187	transcript-transcript	0.759635347696187
PKM	CALR	0.582480583042446	transcript-transcript	0.582480583042446
CD4	ITGAM	-0.765915530134121	transcript-transcript	0.765915530134121
FURIN	ANPEP	0.535748129181286	transcript-transcript	0.535748129181286
CXCL8	FURIN	-0.266283452598419	transcript-transcript	0.266283452598419
IL1B	ITGAM	0.547306413392756	transcript-transcript	0.547306413392756
IL1B	CXCL8	0.195674261915606	transcript-transcript	0.195674261915606
TNF	ITGAM	-0.271519666333354	transcript-transcript	0.271519666333354
TNF	IL1B	0.213473374109535	transcript-transcript	0.213473374109535
EPOR	CPOX	-0.409750153917085	transcript-transcript	0.409750153917085
CD8B	BRAF	-0.555387231583405	transcript-transcript	0.555387231583405
CD8B	IL10	-0.753495865369965	transcript-transcript	0.753495865369965
IL10RA	ITGAM	-0.437384604557031	transcript-transcript	0.437384604557031
CXCL2	FURIN	0.231927588285195	transcript-transcript	0.231927588285195
CXCL2	IL10RA	0.278612451899417	transcript-transcript	0.278612451899417
ELANE	CPOX	0.105458529734104	transcript-transcript	0.105458529734104
ELANE	EPOR	0.142841993485961	transcript-transcript	0.142841993485961
ENPEP	CD8B	-0.317600579243072	transcript-transcript	0.317600579243072
LCK	TNF	0.166402766384989	transcript-transcript	0.166402766384989
CCL4	CXCL8	0.383546280861956	transcript-transcript	0.383546280861956
CCL4	IL1B	-0.272146774808009	transcript-transcript	0.272146774808009
CCL4	TNF	0.169497550238079	transcript-transcript	0.169497550238079
ICAM1	ITGAM	0.40885866546472	transcript-transcript	0.40885866546472
ICAM1	IL1B	0.408595630877436	transcript-transcript	0.408595630877436
ICAM1	TNF	0.409932653810285	transcript-transcript	0.409932653810285
ICAM1	IL10RA	-0.545661153949608	transcript-transcript	0.545661153949608
ICAM1	CXCL2	-0.391678787036945	transcript-transcript	0.391678787036945
ICAM1	CCL4	-0.218138705127663	transcript-transcript	0.218138705127663
IFNG	GZMB	0.759635347696187	transcript-transcript	0.759635347696187
CD8A	GZMB	0.722375615451979	transcript-transcript	0.722375615451979
CXCL8	MEFV	0.210911674255037	transcript-transcript	0.210911674255037
CXCL8	IFNG	-0.173134013156575	transcript-transcript	0.173134013156575
