Gene 1	Gene 2	Weight	Network group	Network
GAS2L1	ITGA2B	0.016695134	Co-expression	Burington-Shaughnessy-2008
ITGB3	ITGA2B	0.021870006	Co-expression	Burington-Shaughnessy-2008
CLDN5	ITGA2B	0.014674018	Co-expression	Burington-Shaughnessy-2008
CLDN5	SAMD14	0.009945149	Co-expression	Burington-Shaughnessy-2008
TAL1	ITGA2B	0.023186838	Co-expression	Burington-Shaughnessy-2008
TAL1	GAS2L1	0.017569102	Co-expression	Burington-Shaughnessy-2008
TAL1	ITGB3	0.021576434	Co-expression	Burington-Shaughnessy-2008
TAL1	CLDN5	0.016707892	Co-expression	Burington-Shaughnessy-2008
ARHGEF12	SAMD14	0.008284438	Co-expression	Burington-Shaughnessy-2008
ABLIM3	ITGA2B	0.020427791	Co-expression	Burington-Shaughnessy-2008
ABLIM3	GAS2L1	0.018029457	Co-expression	Burington-Shaughnessy-2008
ABLIM3	TAL1	0.020364862	Co-expression	Burington-Shaughnessy-2008
FST	SIRPA	0.014000568	Co-expression	Burington-Shaughnessy-2008
FST	CTDSPL	0.01890177	Co-expression	Burington-Shaughnessy-2008
PF4V1	ITGA2B	0.020795887	Co-expression	Burington-Shaughnessy-2008
PF4V1	GAS2L1	0.01942289	Co-expression	Burington-Shaughnessy-2008
PF4V1	ITGB3	0.021225931	Co-expression	Burington-Shaughnessy-2008
PF4V1	TAL1	0.024742903	Co-expression	Burington-Shaughnessy-2008
PF4V1	ABLIM3	0.021075984	Co-expression	Burington-Shaughnessy-2008
CDC42BPA	VNN1	0.011867073	Co-expression	Burington-Shaughnessy-2008
MMP8	ITGA2B	0.013008072	Co-expression	Burington-Shaughnessy-2008
MMP8	PF4V1	0.012949981	Co-expression	Burington-Shaughnessy-2008
MAOB	ITGA2B	0.016151695	Co-expression	Burington-Shaughnessy-2008
MAOB	TAL1	0.019470299	Co-expression	Burington-Shaughnessy-2008
MAOB	PF4V1	0.01671137	Co-expression	Burington-Shaughnessy-2008
PPBP	ITGA2B	0.022029253	Co-expression	Burington-Shaughnessy-2008
PPBP	GAS2L1	0.017576342	Co-expression	Burington-Shaughnessy-2008
