GeneID1	GeneID2	PCC_mild	feature_type	PCC_mild_abs
SELP	ITGAM	0.460515402287691	transcript-transcript	0.460515402287691
IL1B	CXCL8	0.2232952578266	transcript-transcript	0.2232952578266
CXCL2	IL1B	0.370928505711931	transcript-transcript	0.370928505711931
LCK	IL10RA	0.228345760579691	transcript-transcript	0.228345760579691
CCL4	CXCL8	0.18615917217039	transcript-transcript	0.18615917217039
CCL4	TNF	0.130425709069172	transcript-transcript	0.130425709069172
CCL4	CXCL2	-0.387169320014123	transcript-transcript	0.387169320014123
ICAM1	FURIN	0.390862198840571	transcript-transcript	0.390862198840571
IFNG	GZMB	0.580255557794298	transcript-transcript	0.580255557794298
PKM	CALR	0.628163952167928	transcript-transcript	0.628163952167928
CD4	ITGAM	-0.471963006916246	transcript-transcript	0.471963006916246
FURIN	ANPEP	0.697063389551284	transcript-transcript	0.697063389551284
IL1B	ITGAM	0.212600345467945	transcript-transcript	0.212600345467945
IL1B	CXCL8	0.2232952578266	transcript-transcript	0.2232952578266
TNF	ITGAM	-0.428504499827963	transcript-transcript	0.428504499827963
EPOR	CPOX	-0.564153091034965	transcript-transcript	0.564153091034965
CD8B	BRAF	-0.434656596545485	transcript-transcript	0.434656596545485
CD8B	IL10	-0.603898373310928	transcript-transcript	0.603898373310928
CD8B	GFAP	0.251388957571386	transcript-transcript	0.251388957571386
IL10RA	ITGAM	-0.276542311905295	transcript-transcript	0.276542311905295
CXCL2	IL1B	0.370928505711931	transcript-transcript	0.370928505711931
ELANE	CPOX	-0.475306973182078	transcript-transcript	0.475306973182078
ELANE	EPOR	0.571198265795225	transcript-transcript	0.571198265795225
ASGR2	ITGAM	0.493583452006959	transcript-transcript	0.493583452006959
ENPEP	CD8B	-0.14447601621934	transcript-transcript	0.14447601621934
LCK	TNF	0.482466109330773	transcript-transcript	0.482466109330773
CCL4	CXCL8	0.18615917217039	transcript-transcript	0.18615917217039
CCL4	TNF	0.130425709069172	transcript-transcript	0.130425709069172
CCL4	CXCL2	-0.387169320014123	transcript-transcript	0.387169320014123
ICAM1	ITGAM	0.556082655564327	transcript-transcript	0.556082655564327
ICAM1	IFNG	-0.351971426590223	transcript-transcript	0.351971426590223
ICAM1	CXCL8	0.130409352105888	transcript-transcript	0.130409352105888
ICAM1	IL1B	0.379243743707962	transcript-transcript	0.379243743707962
ICAM1	TNF	-0.216944533400137	transcript-transcript	0.216944533400137
ICAM1	IL10RA	-0.350932207096042	transcript-transcript	0.350932207096042
ICAM1	CXCL2	0.319945788921637	transcript-transcript	0.319945788921637
ICAM1	CCL4	-0.299616153810228	transcript-transcript	0.299616153810228
IFNG	GZMB	0.580255557794298	transcript-transcript	0.580255557794298
CD8A	GZMB	0.370866072134047	transcript-transcript	0.370866072134047
CXCL8	MEFV	0.256738712981907	transcript-transcript	0.256738712981907
CXCL8	IFNG	-0.162080451170924	transcript-transcript	0.162080451170924
IL1B	MEFV	0.586971392259917	transcript-transcript	0.586971392259917
IL1B	CXCL8	0.2232952578266	transcript-transcript	0.2232952578266
TNF	MEFV	-0.383867668222492	transcript-transcript	0.383867668222492
TNF	CXCL8	0.145096792947408	transcript-transcript	0.145096792947408
MAP2K1	CXCL2	0.243617692849695	transcript-transcript	0.243617692849695
ENPEP	DPP4	-0.247180100422675	transcript-transcript	0.247180100422675
CCL4	MEFV	-0.337031019167934	transcript-transcript	0.337031019167934
CCL4	CXCL8	0.18615917217039	transcript-transcript	0.18615917217039
CCL4	TNF	0.130425709069172	transcript-transcript	0.130425709069172
ICAM1	MEFV	0.611315738803675	transcript-transcript	0.611315738803675
ICAM1	CXCL8	0.130409352105888	transcript-transcript	0.130409352105888
ICAM1	IL1B	0.379243743707962	transcript-transcript	0.379243743707962
ICAM1	CCL4	-0.299616153810228	transcript-transcript	0.299616153810228
DPP4	CXCL8	0.298723936831709	transcript-transcript	0.298723936831709
MEN1	FASTK	0.898494126067768	transcript-transcript	0.898494126067768
MAP2K1	CD8A	-0.465388001065244	transcript-transcript	0.465388001065244
LCK	CD4	0.496353871923829	transcript-transcript	0.496353871923829
CCL4	CD8A	0.376363189049614	transcript-transcript	0.376363189049614
CCL4	CXCL8	0.18615917217039	transcript-transcript	0.18615917217039
ICAM1	DPP4	-0.415916393833978	transcript-transcript	0.415916393833978
ICAM1	CCL4	-0.299616153810228	transcript-transcript	0.299616153810228
RNMT	SCAI	0.483301007507664	transcript-transcript	0.483301007507664
CXCL8	ITGAM	-0.126957455866036	transcript-transcript	0.126957455866036
CXCL8	ANPEP	-0.122718086055752	transcript-transcript	0.122718086055752
IL1B	ITGAM	0.212600345467945	transcript-transcript	0.212600345467945
