"feature"	"statistic"
"STAT1"	53529.0403593635
"ISG15"	36158.1405703952
"IFI44L"	30237.9775749808
"DDX19A"	22808.8298995834
"OASL"	20794.3600607291
"JUN"	17386.1482099964
"IRF1"	17110.5863357524
"CCL5"	14796.9612926631
"SIRT1"	14394.9844426242
"IL1B"	12877.358992631
"ITGAL"	12505.3636037316
"IRF9"	12452.5724593128
"CCL4"	11763.2678359511
"SIGLEC7"	11706.1212773769
"CD53"	10341.8380861275
"IFIT3"	10184.9191066549
"CXCL2"	9755.34129766609
"GPT"	9654.78649399252
"ACCS"	9364.44156558305
"TNFRSF14"	9185.7841131848
"ITGB2"	8755.09912004612
"IFITM1"	8503.26942559348
"CCR1"	8297.14640327372
"ICAM1"	7990.8756375431
"CXCL1"	7064.53985824266
"ZNF384"	6919.99998548705
"CASP1"	6511.78024382749
"CD69"	6380.58624894215
"CD14"	6292.75410578025
"CD33"	6249.10493496247
"TAP1"	5424.79447523027
"ENPEP"	5320.20780337649
"MMP9"	5220.8478757735
"IL6ST"	5129.30216707064
"PTGS2"	5058.816333517
"SERPINA1"	4945.49970267212
"ATF6"	4823.03753292208
"IL6"	4676.04289282475
"CD3D"	4442.24134309772
"STAT3"	4239.80933305599
"CXCL10"	4234.25519878649
"IL10RA"	3980.7506347499
"APOA1"	3694.00366573107
"F7"	3671.66124006636
"KDM1A"	3588.89702255198
"TNFAIP3"	3576.91639163375
"FOS"	3524.62838369883
"APOH"	3409.36149223589
"IL7R"	3400.53936347468
"IFIT1"	3390.61962230119
"S100A8"	3322.53188758429
"JUNB"	3281.0876918195
"LAP3"	3229.64715449891
"ZUP1"	3204.37498753615
"BTLA"	3113.61545109858
"NFKBIA"	3082.19023138801
"DPP4"	3031.0093563696
"IL2RB"	2955.65774039825
"MPHOSPH6"	2868.42313762171
"CD300C"	2846.21847606256
"NFKB1"	2833.51844827937
"BLNK"	2815.01472147945
"FGL2"	2813.95560967644
"HLA-G"	2709.81943701229
"BZW1"	2705.79848417577
"CGAS"	2669.37498678647
"GYPC"	2651.05105984019
"CD2"	2644.64416751133
"BRCA2"	2642.56462324485
"CXCL8"	2570.07534911711
"SOCS3"	2560.76866769975
"TNFSF13B"	2532.3344951449
"CCL2"	2381.0182879969
"MXD1"	2375.81723761751
"S1PR1"	2326.40307809557
"B2M"	2184.28140199471
"MX1"	2181.50674529941
"BLOC1S4"	2144.70075709422
"IL4I1"	2137.99998851103
"CANT1"	2136.99998754111
"CD93"	2136.87498483186
"RSAD2"	2077.79710228106
"OAS1"	2039.14888854889
"IFI35"	2020.01282103285
"NAMPT"	2019.56451564782
"MUL1"	1909.9299257918
"ARPC1B"	1881.41338611398
"ZC3HAV1"	1842.34332681432
"SIGLEC10"	1839.68767745291
"C1QA"	1798.40454375362
"KEAP1"	1782.63831059006
"JAG1"	1720.06051253703
"IFNG"	1694.02357798732
"CR2"	1693.17746482919
"FANCC"	1669.80012275986
"PARP14"	1652.67489005691
"MX2"	1637.02560619853
"CDK4"	1631.38734762264
"ANTXR2"	1604.37498908773
"SCYL1"	1603.99998706406
"SHCBP1"	1603.74998908392
"KPNA2"	1603.61342158198
"CNTNAP2"	1564.25943082801
"TBL1XR1"	1538.76435967702
"DDX41"	1492.70696174482
"ASGR2"	1455.04639651864
"APP"	1452.55825253563
"KAT5"	1445.94298448125
"MAPK14"	1423.31469785907
"USP18"	1388.24654457304
"AKT1"	1387.22292974852
"CXCR4"	1383.33576698062
"SIRT2"	1361.7664211093
"C4BPB"	1345.75248801783
"SQOR"	1327.23853595001
"LRBA"	1308.17063143913
"IP6K2"	1278.89493542484
"GOT2"	1226.81459944623
"ANXA5"	1225.15090423744
"MAP3K7"	1207.25652599519
"MVP"	1183.11786900658
"S100A9"	1178.87211659595
"IFITM2"	1168.13370502732
"PTPN6"	1166.83183043
"MIB1"	1137.70125343039
